,Player,Team,GP,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
90,Trey Murphy III,NOP,19,28.1,13.1,4.4,9.1,48.8,2.4,5.7,41.3,1.8,1.9,94.6,1.3,3.2,4.5,1.2,1.1,0.5,0.8,14.7
91,Jonas Valanciunas,NOP,21,23.4,13.0,4.9,9.1,53.9,0.7,1.5,43.8,2.6,3.1,81.8,2.8,6.5,9.2,2.0,0.3,0.3,2.0,18.1
92,John Wall,LAC,18,22.4,12.9,4.6,10.4,44.1,0.9,3.4,25.8,2.8,4.2,65.8,0.3,2.3,2.6,5.6,0.9,0.2,2.3,12.6
93,Jakob Poeltl,SAS,20,27.3,12.9,5.7,8.9,64.0,0.0,0.0,0.0,1.5,2.8,51.8,3.9,6.0,9.9,3.5,0.9,1.0,2.4,21.1
94,Reggie Jackson,LAC,23,29.4,12.5,4.7,10.8,44.0,1.5,4.4,34.7,1.5,1.7,92.1,0.3,2.3,2.7,4.6,0.7,0.1,2.2,12.3
95,Eric Gordon,HOU,18,29.6,12.3,4.2,9.5,44.4,1.9,5.2,36.2,2.0,2.3,87.8,0.3,1.7,2.0,2.6,0.7,0.4,1.9,10.4
96,Tre Jones,SAS,21,30.1,12.3,4.6,11.0,41.7,0.8,2.5,32.1,2.4,2.6,90.9,0.7,2.7,3.4,7.0,1.5,0.1,2.1,15.6
97,John Collins,ATL,22,31.5,12.3,4.7,9.7,48.4,0.7,3.3,21.9,2.2,2.6,84.5,1.2,6.3,7.5,1.3,0.9,1.4,1.4,16.6
98,Isaiah Stewart,DET,17,27.5,12.2,3.9,8.5,46.2,1.4,3.9,35.8,2.9,3.9,74.6,2.8,6.5,9.2,1.4,0.5,0.7,1.1,17.3
99,Chris Boucher,TOR,17,23.8,12.1,4.2,9.0,46.4,0.9,3.1,28.3,2.8,3.9,71.6,2.4,3.9,6.4,0.5,0.9,0.8,0.8,13.9
